zabbix_host,train,type,coach,ip,mac,serial,config,firmware
50_4035_MAR3-B1,4035,AP,4,10.179.35.65,,ap1-train-4035,,
50_4035_MAR3-B1,4035,AP,4,10.179.35.66,,ap2-train-4035,,
50_4035_MAR3-B1,4035,AP,4,10.179.35.67,,ap3-train-4035,,
50_4035_MAR3-B1,4035,AP,4,10.179.35.68,,ap4-train-4035,,
50_4035_MAR3-B1,4035,SW,4,10.179.35.61,,sw1-train-4035,,
50_4035_MAR3-B1,4035,SW,4,10.179.35.62,,sw2-train-4035,,
50_4035_MAR3-B1,4035,SW,4,10.179.35.63,,sw3-train-4035,,
50_4036_MAR3-B1,4036,AP,1,10.179.36.141,00:14:5A:04:78:1B,3623-073001-1-05-00000965-2401,AP4-v1,6.10.0-0
50_4036_MAR3-B1,4036,AP,1,10.179.36.145,00:14:5A:04:80:24,3623-073001-1-05-00001364-2406,AP3-v1,6.10.0-0
50_4036_MAR3-B1,4036,AP,1,10.179.36.149,00:14:5A:04:7F:6C,3623-073001-1-05-00001318-2406,AP2-v1,6.10.0-0
50_4036_MAR3-B1,4036,AP,1,10.179.36.153,00:14:5A:04:1C:D8,3623-073001-1-04-00000108-2206,AP1-v1,6.10.0-0
50_4036_MAR3-B1,4036,SW,1,10.179.36.178,A0:59:3A:D0:6C:40,240866,nv4-A2-v6-010,7.4.2
50_4036_MAR3-B1,4036,SW,1,10.179.36.180,A0:59:3A:D0:6B:40,240858,nv4-A3-v6-010,7.4.2
50_4036_MAR3-B1,4036,SW,1,10.179.36.189,A0:59:3A:D0:67:40,240826,nv4-A1-v6-010,7.4.2
50_4036_MAR3-B1,4036,AP,2,10.179.36.138,00:14:5A:04:7F:C8,3623-073001-1-05-00001341-2406,AP4-v1,6.10.0-0
50_4036_MAR3-B1,4036,AP,2,10.179.36.142,00:14:5A:04:B3:C5,3623-073001-1-05-00001705-2442,AP3-v1,6.10.0-0
50_4036_MAR3-B1,4036,AP,2,10.179.36.148,00:14:5A:04:7E:7F,3623-073001-1-05-00001259-2406,AP2-v1,6.10.0-0
